task_id,prompt,declaration,canonical_solution,test,example_test
Rust/0,"
/*
 Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn has_close_elements(numbers:Vec<f32>, threshold: f32) -> bool{
","
    for i in 0..numbers.len(){
        for j in 1..numbers.len(){

            if i != j {
                let distance:f32 = numbers[i] - numbers[j];

            if distance.abs() < threshold{
                return true;
            }

            }
            
        }
    }

    return false;

}
","
#[cfg(test)]
mod tests {
    use super::*;

    #[test]
    fn test_has_close_elements() {
        assert_eq!(has_close_elements(vec![11.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3), true);
        assert_eq!(has_close_elements(vec![1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05), false);
        assert_eq!(has_close_elements(vec![1.0, 2.0, 5.9, 4.0, 5.0], 0.95), true);
        assert_eq!(has_close_elements(vec![1.0, 2.0, 5.9, 4.0, 5.0], 0.8), false);
        assert_eq!(has_close_elements(vec![1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1), true);
        assert_eq!(has_close_elements(vec![1.1, 2.2, 3.1, 4.1, 5.1], 1.0), true);
        assert_eq!(has_close_elements(vec![1.1, 2.2, 3.1, 4.1, 5.1], 0.5), false);
    }

}
",None
Rust/1,"
/*
 Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn separate_paren_groups(paren_string: String) -> Vec<String>{
","
    let mut result:Vec<String> = vec![];
    let mut current_string:String = String::new();
    let mut current_depth:u32 = 0;

    for c in paren_string.chars(){
        if c == '('{
            current_depth += 1;
            current_string.push(c);
        }
        else if c == ')' {
            current_depth -= 1;
            current_string.push(c);

            if current_depth == 0{
                result.push(current_string.clone());
                current_string.clear()
            }
            
        }


    }
    return result;
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_separate_paren_groups() {
        assert_eq!(
            separate_paren_groups(String::from(""(()()) ((())) () ((())()())"")),
            vec![""(()())"", ""((()))"", ""()"", ""((())()())""]
        );
        assert_eq!(
            separate_paren_groups(String::from(""() (()) ((())) (((())))"")),
            vec![""()"", ""(())"", ""((()))"", ""(((())))""]
        );
        assert_eq!(
            separate_paren_groups(String::from(""(()(())((())))"")),
            vec![""(()(())((())))""]
        );
        assert_eq!(
            separate_paren_groups(String::from(""( ) (( )) (( )( ))"")),
            vec![""()"", ""(())"", ""(()())""]
        );
    }

}
",None
Rust/2,"
/*
 Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn truncate_number(number: &f32) -> f32{
","
    return number % 1.0;
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_truncate_number() {
        assert_eq!(truncate_number(&3.5), 0.5);
        let t1: f32 = 1.33 - 0.33;
        assert!(truncate_number(&t1) < 0.000001);
        let t2: f32 = 123.456 - 0.456;
        assert!(truncate_number(&t2) < 0.000001);
    }

}
",None
Rust/3,"
/*
 You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn below_zero(operations:Vec<i32>) -> bool{
","

let mut balance:i32 = 0;
for op in operations {
    balance = balance + op;
    if balance < 0 {
        return true;
        }
    }
    return false;
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_below_zero() {
        assert_eq!(below_zero(vec![]), false);
        assert_eq!(below_zero(vec![1, 2, -3, 1, 2, -3]), false);
        assert_eq!(below_zero(vec![1, 2, -4, 5, 6]), true);
        assert_eq!(below_zero(vec![1, -1, 2, -2, 5, -5, 4, -4]), false);
        assert_eq!(below_zero(vec![1, -1, 2, -2, 5, -5, 4, -5]), true);
        assert_eq!(below_zero(vec![1, -2, 2, -2, 5, -5, 4, -4]), true);
    }

}
",None
Rust/4,"
/*
 For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn mean_absolute_deviation(numbers:Vec<f32>) -> f32{
","
    let mean:f32 = numbers.iter().fold(0.0,|acc:f32, x:&f32| acc + x) / numbers.len() as f32;
    return numbers.iter().map(|x:&f32| (x - mean).abs()).sum::<f32>() / numbers.len() as f32;
}

","
#[cfg(test)]
mod tests {
    use super::*;

  #[test]
    fn test_mean_absolute_deviation() {
        assert!(mean_absolute_deviation(vec![1.0, 2.0, 3.0]) - 2.0 / 3.0 < 0.000001);
        assert!(mean_absolute_deviation(vec![1.0, 2.0, 3.0, 4.0]) - 1.0 < 0.000001);
        assert!(mean_absolute_deviation(vec![1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0 / 5.0 < 0.000001);
    }

}
",None
Rust/5,"
/*
 Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn intersperse(numbers:Vec<u32>, delimeter: u32) -> Vec<u32>{
","
    let mut res:Vec<u32> = vec![];
    numbers.iter().for_each(|item:&u32| {res.push(*item); res.push(delimeter);});
    res.pop();
    return res;
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_intersperse() {
        assert!(intersperse(vec![], 7) == vec![]);
        assert!(intersperse(vec![5, 6, 3, 2], 8) == vec![5, 8, 6, 8, 3, 8, 2]);
        assert!(intersperse(vec![2, 2, 2], 2) == vec![2, 2, 2, 2, 2]);
    }

}
",None
Rust/6,"
/*
 Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn parse_nested_parens(paren_string:String) -> Vec<i32>{
","
    let mut result:Vec<i32> = vec![];
    let mut depth:i32 = 0;
    let mut max_depth:i32 = 0;

    for splits in paren_string.split(' '){
        for c in splits.chars(){ 
        if c == '('{
        depth = depth + 1;
        max_depth = max(depth, max_depth);
        }
        else{
        depth = depth - 1;
        }
    }
    
    if depth == 0 {
        result.push(max_depth);
        max_depth = 0;
        }
    }

    return result;
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_parse_nested_parens() {
        assert!(
            parse_nested_parens(String::from(""(()()) ((())) () ((())()())"")) == vec![2, 3, 1, 3]
        );
        assert!(parse_nested_parens(String::from(""() (()) ((())) (((())))"")) == vec![1, 2, 3, 4]);
        assert!(parse_nested_parens(String::from(""(()(())((())))"")) == vec![4]);
    }

}
",None
Rust/7,"
/*
 Filter an input list of strings only for ones that contain given substring
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn filter_by_substring(strings: Vec<String>, substring:String) -> Vec<String>{
","
    return strings.iter().filter(|x:&&String| x.contains(&substring)).map(String::from).collect();
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_filter_by_substring() {
        let v_empty: Vec<String> = vec![];
        assert!(filter_by_substring(vec![], String::from(""john"")) == v_empty);
        assert!(
            filter_by_substring(
                vec![
                    ""xxx"".to_string(),
                    ""asd"".to_string(),
                    ""xxy"".to_string(),
                    ""john doe"".to_string(),
                    ""xxxAAA"".to_string(),
                    ""xxx"".to_string()
                ],
                String::from(""xxx"")
            ) == vec![""xxx"", ""xxxAAA"", ""xxx""]
        );
        assert!(
            filter_by_substring(
                vec![
                    ""xxx"".to_string(),
                    ""asd"".to_string(),
                    ""aaaxxy"".to_string(),
                    ""john doe"".to_string(),
                    ""xxxAAA"".to_string(),
                    ""xxx"".to_string()
                ],
                String::from(""xx"")
            ) == vec![""xxx"", ""aaaxxy"", ""xxxAAA"", ""xxx""]
        );
        assert!(
            filter_by_substring(
                vec![
                    ""grunt"".to_string(),
                    ""trumpet"".to_string(),
                    ""prune"".to_string(),
                    ""gruesome"".to_string()
                ],
                String::from(""run"")
            ) == [""grunt"", ""prune""]
        );
    }

}
",None
Rust/8,"
/*
 For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn sum_product(numbers:Vec<i32>) -> (i32,i32){
","
    let sum = |xs: &Vec<i32>| xs.iter()
    .fold(0, |mut sum, &val| { sum += val; 
                                                 sum }
    );
    let product = |xs: &Vec<i32>| xs.iter()
    .fold(1, |mut prod, &val| { prod *= val; 
                                                 prod }
    );
    return (sum(&numbers),product(&numbers));
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_sum_product() {
        assert!(sum_product(vec![]) == (0, 1));
        assert!(sum_product(vec![1, 1, 1]) == (3, 1));
        assert!(sum_product(vec![100, 0]) == (100, 0));
        assert!(sum_product(vec![3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7));
        assert!(sum_product(vec![10]) == (10, 10));
    }

}
",None
Rust/9,"
/*
 From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn rolling_max(numbers:Vec<i32>) -> Vec<i32>{
","
    let mut running_max :Option<i32> = None;
    let mut result:Vec<i32> = vec![];

    for n in numbers{
        if running_max == None {
            running_max = Some(n);

        }else{
            running_max = max(running_max, Some(n));
        }

        result.push(running_max.unwrap());
    }
    return result;

}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_rolling_max() {
        assert!(rolling_max(vec![]) == vec![]);
        assert!(rolling_max(vec![1, 2, 3, 4]) == vec![1, 2, 3, 4]);
        assert!(rolling_max(vec![4, 3, 2, 1]) == vec![4, 4, 4, 4]);
        assert!(rolling_max(vec![3, 2, 3, 100, 3]) == vec![3, 3, 3, 100, 100]);
    }

}
",None
Rust/10,"
/*
 Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn is_palindrome_10(str: &str) -> bool {
","
        let s: String = str.chars().rev().collect();
        return s==str;
    }
    
    fn make_palindrome(str: &str) -> String {
        let mut i: usize = 0;
        for i in 0..str.len() {
            let rstr: &str = &str[i..];
            if is_palindrome_10(rstr) {
                let nstr: &str = &str[0..i];
                let n2str: String = nstr.chars().rev().collect();
                return str.to_string()+&n2str;
            }
        }
        let n2str: String = str.chars().rev().collect();
        return str.to_string()+&n2str;
    }
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_make_palindrome() {
        assert_eq!(make_palindrome(""""), """");
        assert_eq!(make_palindrome(""x""), ""x"");
        assert_eq!(make_palindrome(""xyz""), ""xyzyx"");
        assert_eq!(make_palindrome(""xyx""), ""xyx"");
        assert_eq!(make_palindrome(""jerry""), ""jerryrrej"");
    }

}
",None
Rust/11,"
/*
 Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn string_xor(a:String, b:String) -> String{
","

    let xor = |i:char, j:char| {if i == j{return ""0"".to_string()}else{return ""1"".to_string()}};
    return a.chars().into_iter().zip(b.chars().into_iter()).map(|(i,j)| """".to_string() + &xor(i,j)).collect();   
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_string_xor() {
        assert!(string_xor(""111000"".to_string(), ""101010"".to_string()) == ""010010"");
        assert!(string_xor(""1"".to_string(), ""1"".to_string()) == ""0"");
        assert!(string_xor(""0101"".to_string(), ""0000"".to_string()) == ""0101"");
    }

}
",None
Rust/12,"
/*
 Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn longest(strings:Vec<String>) -> Option<String>{

","
    if strings.is_empty(){
        return None;
    }
    let mut max:i32 = 0;
    let mut res:String = String::new();

    for s in strings{
        if s.len() as i32 > max {
            res = s;
            max = res.len() as i32;
        }    
    }
     return Some(res);
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_longest() {
        assert!(longest(vec![]) == None);
        assert!(
            longest(vec![""x"".to_string(), ""y"".to_string(), ""z"".to_string()])
                == Some(""x"".to_string())
        );
        assert!(
            longest(vec![
                ""x"".to_string(),
                ""yyy"".to_string(),
                ""zzzz"".to_string(),
                ""www"".to_string(),
                ""kkkk"".to_string(),
                ""abc"".to_string()
            ]) == Some(""zzzz"".to_string())
        );
    }

}
",None
Rust/13,"
/*
 Return a greatest common divisor of two integers a and b
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn greatest_common_divisor(mut a:i32,mut b:i32) -> i32{

","
    while b > 0 {
        (a, b) = (b, a % b);
    }
    return a;
}

","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_greatest_common_divisor() {
        assert!(greatest_common_divisor(3, 7) == 1);
        assert!(greatest_common_divisor(10, 15) == 5);
        assert!(greatest_common_divisor(49, 14) == 7);
        assert!(greatest_common_divisor(144, 60) == 12);
    }

}
",None
